START DATE,END DATE,USAGE,UNITS,COST,SOLAR PRODUCTION,TOTAL ENERGY USE,GRID COST (avg $0.27/kWh),NET DIFFERENCE (only for you - your program should create this data in the end)
2/12/2016,3/14/2016,498.39,kWh,$90.11 ,,,,
3/15/2016,4/13/2016,-31.26,kWh,($2.93),,,,
4/14/2016,5/12/2016,23.15,kWh,($13.96),,,,
5/13/2016,6/13/2016,-175.35,kWh,($99.75),,,,
6/14/2016,7/13/2016,-327.34,kWh,($138.35),,,,
7/14/2016,8/14/2016,-302.31,kWh,($137.97),,,,
8/15/2016,9/13/2016,82.28,kWh,($44.80),,,,
9/14/2016,10/12/2016,343.82,kWh,$29.13 ,,,,
10/13/2016,11/13/2016,792.65,kWh,$174.46 ,,,,
11/14/2016,12/12/2016,1130.13,kWh,$306.21 ,,,,
12/13/2016,1/11/2017,1198.92,kWh,$327.50 ,555.92,1754.84,$473.81 ,$146.31 
1/12/2017,2/12/2017,1057.75,kWh,$266.00 ,646.3,1704.05,$460.09 ,$194.09 
2/13/2017,3/14/2017,421.53,kWh,$78.54 ,1225.51,1647.04,$444.70 ,$366.16 
3/15/2017,4/13/2017,225.13,kWh,$41.01 ,1310.62,1535.75,$414.65 ,$373.64 
4/14/2017,5/14/2017,-20.09,kWh,($38.01),1635.8,1615.71,$436.24 ,$398.23 
5/15/2017,6/13/2017,-235.41,kWh,($116.66),1637.63,1402.22,$378.60 ,$261.94 
6/14/2017,7/13/2017,-221.27,kWh,($123.80),1732.75,1511.48,$408.10 ,$284.30 
7/14/2017,8/14/2017,-130.28,kWh,($94.97),1496.03,1365.75,$368.75 ,$273.78 
8/15/2017,9/13/2017,40.7,kWh,($57.67),1286.45,1327.15,$358.33 ,$300.66 
9/14/2017,10/12/2017,106.76,kWh,($22.14),1092.25,1199.01,$323.73 ,$301.59 
10/13/2017,11/12/2017,684.65,kWh,$144.50 ,625.32,1309.97,$353.69 ,$209.19 
11/13/2017,12/12/2017,866.38,kWh,$193.41 ,625.87,1492.25,$402.91 ,$209.50 
12/13/2017,1/10/2018,956.58,kWh,$216.16 ,,,,
1/11/2018,2/11/2018,839.84,kWh,$185.78 ,,,,
2/12/2018,3/13/2018,480.52,kWh,$100.83 ,,,,
3/14/2018,4/12/2018,219.14,kWh,$42.44 ,,,,
4/13/2018,5/13/2018,-236.97,kWh,($86.87),,,,
5/14/2018,6/12/2018,-55.86,kWh,($86.24),,,,
6/13/2018,7/12/2018,-221.82,kWh,($136.99),,,,
7/13/2018,8/13/2018,-194.3,kWh,($129.54),,,,
8/14/2018,9/12/2018,43.54,kWh,($52.41),,,,
9/13/2018,10/14/2018,177.81,kWh,($11.80),,,,
10/15/2018,11/13/2018,495.63,kWh,$95.21 ,,,,
